iter	Passed	Remaining
0	46	46924
1	47	23562
2	47	15764
3	47	11861
4	47	9508
5	47	7944
6	48	6829
7	48	5999
8	48	5357
9	48	4839
10	49	4416
11	49	4071
12	49	3779
13	50	3527
14	50	3309
15	50	3117
16	50	2948
17	51	2797
18	51	2662
19	51	2541
20	52	2432
21	52	2332
22	52	2241
23	53	2156
24	53	2075
25	53	2004
26	53	1937
27	54	1878
28	54	1819
29	54	1766
30	54	1716
31	55	1668
32	55	1625
33	55	1584
34	55	1543
35	56	1509
36	56	1477
37	57	1444
38	57	1412
39	57	1382
40	57	1353
41	58	1325
42	58	1298
43	58	1273
44	58	1249
45	59	1226
46	59	1204
47	59	1182
48	59	1163
49	60	1143
50	60	1124
51	60	1106
52	60	1088
53	61	1071
54	61	1053
55	61	1037
56	61	1020
57	61	1005
58	62	991
59	62	977
60	62	963
61	62	950
62	63	937
63	63	924
64	63	911
65	63	900
66	63	888
67	63	876
68	64	866
69	64	855
70	64	846
71	64	836
72	65	827
73	65	817
74	65	808
75	65	799
76	65	790
77	66	781
78	66	773
79	66	765
80	66	757
81	66	749
82	67	741
83	67	734
84	67	727
85	67	720
86	68	714
87	68	707
88	68	701
89	68	695
90	68	688
91	69	682
92	69	677
93	69	670
94	69	664
95	69	658
96	70	652
97	70	647
98	70	641
99	70	635
100	70	630
101	70	624
102	71	618
103	71	613
104	71	608
105	71	602
106	71	597
107	71	592
108	71	588
109	72	583
110	72	578
111	72	573
112	72	569
113	72	564
114	72	560
115	72	555
116	73	551
117	73	547
118	73	543
119	73	539
120	73	535
121	73	531
122	73	527
123	74	523
124	74	519
125	74	515
126	74	511
127	74	507
128	74	504
129	74	501
130	75	497
131	75	494
132	75	491
133	75	487
134	75	484
135	75	480
136	75	477
137	75	474
138	76	471
139	76	468
140	76	465
141	76	462
142	76	459
143	76	456
144	77	454
145	77	451
146	77	448
147	77	446
148	77	443
149	77	440
150	77	438
151	78	435
152	78	433
153	78	430
154	78	428
155	78	425
156	78	423
157	79	421
158	79	418
159	79	416
160	79	414
161	79	411
162	79	410
163	80	408
164	80	405
165	80	403
166	80	401
167	80	399
168	80	397
169	80	395
170	81	392
171	81	391
172	81	388
173	81	387
174	81	384
175	81	382
176	81	380
177	82	378
178	82	376
179	82	375
180	82	373
181	82	371
182	82	369
183	82	368
184	83	366
185	83	364
186	83	362
187	83	361
188	83	359
189	83	357
190	84	355
191	84	354
192	84	352
193	84	351
194	84	349
195	84	347
196	84	346
197	85	344
198	85	343
199	85	341
200	85	339
201	85	338
202	85	337
203	86	335
204	86	334
205	86	332
206	86	331
207	86	330
208	86	328
209	87	327
210	87	326
211	87	324
212	87	323
213	87	321
214	87	320
215	87	319
216	88	318
217	88	316
218	88	315
219	88	314
220	88	312
221	88	311
222	89	310
223	89	309
224	89	307
225	89	306
226	89	305
227	89	304
228	90	303
229	90	302
230	90	300
231	90	299
232	90	298
233	90	297
234	91	296
235	91	295
236	91	294
237	91	293
238	91	291
239	91	290
240	92	289
241	92	288
242	92	287
243	92	286
244	92	285
245	92	284
246	92	283
247	93	282
248	93	281
249	93	280
250	93	278
251	93	277
252	93	276
253	93	275
254	94	274
255	94	273
256	94	273
257	94	272
258	94	271
259	94	270
260	95	269
261	95	268
262	95	267
263	95	266
264	95	265
265	95	264
266	96	263
267	96	262
268	96	261
269	96	260
270	96	259
271	96	258
272	96	258
273	97	257
274	97	256
275	97	255
276	97	254
277	97	253
278	97	252
279	97	251
280	98	250
281	98	250
282	98	249
283	98	248
284	98	247
285	98	246
286	98	245
287	99	244
288	99	244
289	99	243
290	99	242
291	99	241
292	99	240
293	99	239
294	100	239
295	100	238
296	100	237
297	100	236
298	100	236
299	100	235
300	100	234
301	101	233
302	101	232
303	101	232
304	101	231
305	101	230
306	101	230
307	102	229
308	102	228
309	102	227
310	102	227
311	102	226
312	102	225
313	102	224
314	103	224
315	103	223
316	103	222
317	103	222
318	103	221
319	103	220
320	103	219
321	104	219
322	104	218
323	104	217
324	104	217
325	104	216
326	104	215
327	104	215
328	105	214
329	105	213
330	105	213
331	105	212
332	105	211
333	105	211
334	105	210
335	106	209
336	106	209
337	106	208
338	106	207
339	106	207
340	106	206
341	107	205
342	107	205
343	107	204
344	107	203
345	107	203
346	107	202
347	107	202
348	107	201
349	108	200
350	108	200
351	108	199
352	108	199
353	108	198
354	108	197
355	109	197
356	109	196
357	109	196
358	109	195
359	109	194
360	109	194
361	109	193
362	110	193
363	110	192
364	110	191
365	110	191
366	110	190
367	110	190
368	110	189
369	111	189
370	111	188
371	111	187
372	111	187
373	111	186
374	111	186
375	111	185
376	112	185
377	112	184
378	112	184
379	112	183
380	112	182
381	112	182
382	112	181
383	113	181
384	113	180
385	113	180
386	113	179
387	113	179
388	113	178
389	113	178
390	114	177
391	114	177
392	114	176
393	114	176
394	114	175
395	114	175
396	114	174
397	115	173
398	115	173
399	115	172
400	115	172
401	115	171
402	115	171
403	115	171
404	116	170
405	116	170
406	116	169
407	116	169
408	116	168
409	116	168
410	116	167
411	117	167
412	117	166
413	117	166
414	117	165
415	117	165
416	117	164
417	117	164
418	118	163
419	118	163
420	118	162
421	118	162
422	118	161
423	118	161
424	118	160
425	119	160
426	119	160
427	119	159
428	119	159
429	119	158
430	119	158
431	119	157
432	120	157
433	120	156
434	120	156
435	120	155
436	120	155
437	120	155
438	121	154
439	121	154
440	121	153
441	121	153
442	121	152
443	121	152
444	121	152
445	122	151
446	122	151
447	122	150
448	122	150
449	122	149
450	122	149
451	122	149
452	123	148
453	123	148
454	123	147
455	123	147
456	123	147
457	123	146
458	124	146
459	124	145
460	124	145
461	124	144
462	124	144
463	124	144
464	124	143
465	125	143
466	125	142
467	125	142
468	125	142
469	125	141
470	125	141
471	125	140
472	126	140
473	126	140
474	126	139
475	126	139
476	126	138
477	126	138
478	127	138
479	127	137
480	127	137
481	127	136
482	127	136
483	127	136
484	127	135
485	128	135
486	128	135
487	128	134
488	128	134
489	128	133
490	128	133
491	128	133
492	129	132
493	129	132
494	129	132
495	129	131
496	129	131
497	129	130
498	130	130
499	130	130
500	130	129
501	130	129
502	130	129
503	130	128
504	130	128
505	131	127
506	131	127
507	131	127
508	131	126
509	131	126
510	131	126
511	131	125
512	132	125
513	132	125
514	132	124
515	132	124
516	132	124
517	132	123
518	133	123
519	133	123
520	133	122
521	133	122
522	133	121
523	133	121
524	133	121
525	134	120
526	134	120
527	134	120
528	134	119
529	134	119
530	134	119
531	134	118
532	135	118
533	135	118
534	135	117
535	135	117
536	135	117
537	135	116
538	136	116
539	136	115
540	136	115
541	136	115
542	136	114
543	136	114
544	136	114
545	137	113
546	137	113
547	137	113
548	137	112
549	137	112
550	137	112
551	137	111
552	138	111
553	138	111
554	138	110
555	138	110
556	138	110
557	138	109
558	138	109
559	139	109
560	139	108
561	139	108
562	139	108
563	139	107
564	139	107
565	139	107
566	140	107
567	140	106
568	140	106
569	140	106
570	140	105
571	140	105
572	140	105
573	141	104
574	141	104
575	141	104
576	141	103
577	141	103
578	141	103
579	142	102
580	142	102
581	142	102
582	142	101
583	142	101
584	142	101
585	142	100
586	143	100
587	143	100
588	143	100
589	143	99
590	143	99
591	143	99
592	143	98
593	144	98
594	144	98
595	144	97
596	144	97
597	144	97
598	144	97
599	145	96
600	145	96
601	145	96
602	145	95
603	145	95
604	145	95
605	145	94
606	146	94
607	146	94
608	146	93
609	146	93
610	146	93
611	146	93
612	146	92
613	147	92
614	147	92
615	147	91
616	147	91
617	147	91
618	147	91
619	148	90
620	148	90
621	148	90
622	148	89
623	148	89
624	148	89
625	148	88
626	149	88
627	149	88
628	149	88
629	149	87
630	149	87
631	149	87
632	149	86
633	150	86
634	150	86
635	150	86
636	150	85
637	150	85
638	150	85
639	150	84
640	151	84
641	151	84
642	151	84
643	151	83
644	151	83
645	151	83
646	151	82
647	152	82
648	152	82
649	152	82
650	152	81
651	152	81
652	152	81
653	153	80
654	153	80
655	153	80
656	153	80
657	153	79
658	153	79
659	153	79
660	154	79
661	154	78
662	154	78
663	154	78
664	154	77
665	154	77
666	154	77
667	155	77
668	155	76
669	155	76
670	155	76
671	155	76
672	155	75
673	156	75
674	156	75
675	156	74
676	156	74
677	156	74
678	156	74
679	156	73
680	157	73
681	157	73
682	157	73
683	157	72
684	157	72
685	157	72
686	157	71
687	158	71
688	158	71
689	158	71
690	158	70
691	158	70
692	158	70
693	158	70
694	159	69
695	159	69
696	159	69
697	159	69
698	159	68
699	159	68
700	159	68
701	160	67
702	160	67
703	160	67
704	160	67
705	160	66
706	160	66
707	160	66
708	161	66
709	161	65
710	161	65
711	161	65
712	161	65
713	161	64
714	161	64
715	162	64
716	162	64
717	162	63
718	162	63
719	162	63
720	162	63
721	163	62
722	163	62
723	163	62
724	163	62
725	163	61
726	163	61
727	163	61
728	164	60
729	164	60
730	164	60
731	164	60
732	164	59
733	164	59
734	164	59
735	165	59
736	165	58
737	165	58
738	165	58
739	165	58
740	165	57
741	165	57
742	166	57
743	166	57
744	166	56
745	166	56
746	166	56
747	166	56
748	167	55
749	167	55
750	167	55
751	167	55
752	167	54
753	167	54
754	167	54
755	168	54
756	168	53
757	168	53
758	168	53
759	168	53
760	168	53
761	168	52
762	169	52
763	169	52
764	169	52
765	169	51
766	169	51
767	169	51
768	169	51
769	170	50
770	170	50
771	170	50
772	170	50
773	170	49
774	170	49
775	170	49
776	171	49
777	171	48
778	171	48
779	171	48
780	171	48
781	171	47
782	172	47
783	172	47
784	172	47
785	172	46
786	172	46
787	172	46
788	172	46
789	173	45
790	173	45
791	173	45
792	173	45
793	173	45
794	173	44
795	173	44
796	174	44
797	174	44
798	174	43
799	174	43
800	174	43
801	174	43
802	174	42
803	175	42
804	175	42
805	175	42
806	175	41
807	175	41
808	175	41
809	175	41
810	176	41
811	176	40
812	176	40
813	176	40
814	176	40
815	176	39
816	177	39
817	177	39
818	177	39
819	177	38
820	177	38
821	177	38
822	177	38
823	178	38
824	178	37
825	178	37
826	178	37
827	178	37
828	178	36
829	178	36
830	179	36
831	179	36
832	179	35
833	179	35
834	179	35
835	179	35
836	179	35
837	180	34
838	180	34
839	180	34
840	180	34
841	180	33
842	180	33
843	180	33
844	181	33
845	181	33
846	181	32
847	181	32
848	181	32
849	181	32
850	182	31
851	182	31
852	182	31
853	182	31
854	182	30
855	182	30
856	182	30
857	183	30
858	183	30
859	183	29
860	183	29
861	183	29
862	184	29
863	184	29
864	184	28
865	184	28
866	185	28
867	185	28
868	185	27
869	185	27
870	185	27
871	185	27
872	186	27
873	186	26
874	186	26
875	186	26
876	186	26
877	186	25
878	187	25
879	187	25
880	187	25
881	187	25
882	187	24
883	187	24
884	188	24
885	188	24
886	188	23
887	188	23
888	188	23
889	188	23
890	188	23
891	189	22
892	189	22
893	189	22
894	189	22
895	189	22
896	189	21
897	189	21
898	190	21
899	190	21
900	190	20
901	190	20
902	190	20
903	190	20
904	190	20
905	191	19
906	191	19
907	191	19
908	191	19
909	191	18
910	191	18
911	191	18
912	192	18
913	192	18
914	192	17
915	192	17
916	192	17
917	192	17
918	193	17
919	193	16
920	193	16
921	193	16
922	193	16
923	193	15
924	193	15
925	194	15
926	194	15
927	194	15
928	194	14
929	194	14
930	194	14
931	194	14
932	195	14
933	195	13
934	195	13
935	195	13
936	195	13
937	195	12
938	195	12
939	196	12
940	196	12
941	196	12
942	196	11
943	196	11
944	196	11
945	197	11
946	197	11
947	197	10
948	197	10
949	197	10
950	197	10
951	197	9
952	198	9
953	198	9
954	198	9
955	198	9
956	198	8
957	198	8
958	199	8
959	199	8
960	199	8
961	199	7
962	199	7
963	199	7
964	199	7
965	200	7
966	200	6
967	200	6
968	200	6
969	200	6
970	200	5
971	200	5
972	201	5
973	201	5
974	201	5
975	201	4
976	201	4
977	201	4
978	201	4
979	202	4
980	202	3
981	202	3
982	202	3
983	202	3
984	202	3
985	202	2
986	203	2
987	203	2
988	203	2
989	203	2
990	203	1
991	203	1
992	204	1
993	204	1
994	204	1
995	204	0
996	204	0
997	204	0
998	204	0
999	205	0
